Loop #,Recipe,Lot Start Time,Lot ID,Test ID,Site #,Slot #,Dynamic Iteration#,WaferId,Field X,Field Y,Cell X,Cell Y,T2,T4,L4/Nosc0,L4/Nosc1,L4/Nosc2,L4/Nosc3,L4/Nosc4,T3,T1,NGOF,Wafer X,Wafer Y,X Location,Y Location,Static Iteration,Status
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,1,1,1,CA1413.00.01,1,1,0,0,2675.1899,45564.5,30.5605,51.7849,5.8954,618.289,-198.069,2350.8501,2647.8201,0.9726,0,0,0,0,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,2,1,1,CA1413.00.01,2,2,0,0,2732.02,50224.8984,26.14,47.017,-1.9256,540.094,-166.76,2410.04,2588.45,0.9867,2939.9,21020.9,2939.9,21020.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,3,1,1,CA1413.00.01,3,3,0,0,2691.47,47076.6016,33.3685,44.8532,-36.3234,848.835,-316.621,2362.3501,2636.04,0.9824,-28811.9,8231.9,-28811.9,8231.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,4,1,1,CA1413.00.01,4,4,0,0,2675.47,49401.5,26.0243,46.5343,-1.5327,546.526,-171.797,2410.73,2587.47,0.9855,-14993.9,-33515.9,-14993.9,-33515.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,5,1,1,CA1413.00.01,5,5,0,0,2694.7,48523.1992,26.748,47.1408,-2.6218,565.32,-179.507,2471.9199,2527.3701,0.9832,36014.9,-22490.9,36014.9,-22490.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,6,1,1,CA1413.00.01,6,6,0,0,2780.22,48503.5,26.177,46.4556,-4.5027,552.414,-173.349,2458.75,2540.45,0.9857,30428.9,36308.9,30428.9,36308.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,7,1,1,CA1413.00.01,7,7,0,0,2766.1899,47152.8008,27.4385,48.0013,-3.7182,575.674,-181.907,2319.1799,2680.02,0.9829,-34838.9,38660.9,-34838.9,38660.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,8,1,1,CA1413.00.01,8,8,0,0,2669.71,46896.8008,27.912,48.7865,-2.1186,582.57,-184.273,2368.9099,2629.29,0.9806,-46598.9,-31457.9,-46598.9,-31457.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,9,1,1,CA1413.00.01,9,9,0,0,2735.48,47600,26.7979,46.8005,-2.5871,567.81,-181.279,2447.95,2551.03,0.9857,26312.9,-53948.9,26312.9,-53948.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,10,1,1,CA1413.00.01,10,10,0,0,2782.1201,45886.8984,28.6124,48.5771,-1.8703,600.425,-193.349,2432.98,2565.9399,0.9855,60563.9,19697.9,60563.9,19697.9,1,Pass
